ID,Name,Long,Lat,Category,Province,District,Subdistrict,Uses DATCOV19 surveillance online platform,Main Health care Services Offered,Size,Beds Usable,Beds Approved,Beds Surgical Usable,Beds Surgical Approved,Surgeons Qualified,Surgeons_unqualified,Theatres,Total number of beds,Total number of staff,Cluster,Webpage,Geo_subdivision
201,GJ Crooke's Hospital,30.74487,-30.2882,District Hospital,KwaZuluNatal,Ugu District Municipality,Umdoni Local Municipality,,"Trauma and emergency,Medicine,Surgery & Orthopaedics,Obstetrics & Gynae,Paediatrics,Dental/Oral Health services, Mental Health,Medical Social Work ,Eye Care & Cataract case finding,Rehabilitation Services,Dietetic Services ,Psychiatric Clinic,Clinical Support Services,Laboratory Services,X-ray services & ultrasound,Primary Health Care Services 13,Gateway Clinic fixed clinics & four mobile teams
Home based care,Community and outreach programmes
HIV & AIDS (VCT & PMCT sites & ARV programmes),
TB & STI Management progammes,Nutrition programmes,Baby friendly Hospital Initiative,School Health Services,Poverty, Alleviation projects,EAP (Staff wellness programmes) ",,297,,66,66,,4,2,,,,http://www.kznhealth.gov.za/gjcrookeshospital.htm,ZA-KZN
202,St Andrew's Hospital,29.889283,-30.5755,District Hospital,KwaZuluNatal,Ugu District Municipality,Umuziwabantu Local Municipality,,"Ante Natal Clinic,PMTCT Programme,Medical and surgical,services,Paediatrics,Operating theatre,Dental Clinic,Ophthalmic Services,Laboratory,X-Ray, Pharmacy, Physiotherapy,Speech and Audiology,Mental Health Clinic, Occupational therapy,Dietetics",,210,,20,20,,2,2,,,,http://www.kznhealth.gov.za/standrewshospital.htm,ZA-KZN
203,Northdale Hospital,30.402653,-29.5756,District Hospital,KwaZuluNatal,uMgungundlovu District Municipality,Msunduzi Local Municipality,,"X-Ray / Ultrasound Department,Dental Clinic, Eye clinic,Ante-Natal/Gynaecology Clinic,Gyneacology Clinic,Termination of pregnancy (TOP),Post-Natal Clinic,Paediatric Outpatients Department,Physiotherapy Department,Speech Therapy,Occupational Therapy,Thembalethu Wellness Clinic,The Primary Health Care Clinic (PHC),Primary Health Care",,431,,76,76,,10,5,,,,http://www.kznhealth.gov.za/northdalehospital.htm,ZA-KZN
204,Appelsbosch Hospital,30.842696,-29.3898,District Hospital,KwaZuluNatal,uMgungundlovu District Municipality,uMshwathi Local Municipality,,"ARV clinic,Audiology,Casualty Department (24 hours),Dental Services,Dietetics,Gateway clinic,General Medical,General Surgical,Laboratory,Maternity,Medical Laboratory Services,Out Patient department
Paediatric ward,Pharmacy,Physiotherapy,Occupational Therapy,Social worker,Speech Therapy,TB clinic,Theatres,VCT,X-Ray department",,336,,53,53,,8,4,,,,http://www.kznhealth.gov.za/appelsboschhospital.htm,ZA-KZN
205,Hlabisa Hospital,31.880697,-28.1455,District Hospital,KwaZuluNatal,Umkhanyakude District Municipality,Big 5 Hlabisa Local Municipality,,"Aged and chronic sick,Audiology,Casualty dept / trauma,General medical,General surgical,High Care,Infectious cases,Intensive care,Maternity,Medical Laboratory,Theatres,Occupational , Therapy,Orthopaedics,Speech Therapy,Theatres,Physiotherapy,Psychiatric,Specialist Services,X-ray",Medium,275,,38,38,,5,2,308,,,http://www.kznhealth.gov.za/hlabisahospital.htm,ZA-KZN
206,Bethesda Hospital,32.082098,-27.5741,District Hospital,KwaZuluNatal,Umkhanyakude District Municipality,Jozini Local Municipality,,"Trauma and emergency – 24hour services,Medicine,Surgery & Orthopaedics,Obstetrics & Gynae,Paediatrics,Dental/Oral Health Services,Mental health,Medical Social Work,Eye care & Cataract case finding,Rehabilitation services,Dietetic Services,Clinical support services,Primary Health Care Services,EAP,Collaboration
",Medium,222,,31,31,,5,2,230,,,http://www.kznhealth.gov.za/bethesdahospital.htm,ZA-KZN
207,Mosvold Hospital,32.004746,-27.1383,District Hospital,KwaZuluNatal,Umkhanyakude District Municipality,Jozini Local Municipality,,"Casualty Department / Trauma,General Medical,General Surgical,MCWH (Mother Child & Women’s Health),HIV/AIDS,TB,MaternityOccupational Therapy,Dental Facilities,Physiotherapy,Dietetics,Social Worker,Pharmacy,Theatres,X-ray,Eye Clinic,Chronic illnesses,Male Medical Circumcision,School Health,Mobile Clinic services,Residential Clinic services,Medical Laboratory services,Control of communicable diseases,Community health facilitation",,226,,43,43,,13,2,,,,http://www.kznhealth.gov.za/mosvoldhospital.htm,ZA-KZN
208,Manguzi Hospital,32.756375,-26.984,District Hospital,KwaZuluNatal,Umkhanyakude District Municipality,uMhlabuyalingana Local Municipality,YES,"Out-patient department (OPD) , 24 hr Casualty ,Theatre/Anaesthetic , Radiography , Laboratory, Medicine , Obstetrics , Pediatrics , Psychiatry , Surgery ,Gynecology, Occupational Health ,Rehabilitation
Services,Preventative services",Medium,264,,25,25,,3,2,251,,,http://www.kznhealth.gov.za/manguzihospital.htm,ZA-KZN
209,Mseleni Hospital,32.556644,-27.3256,District Hospital,KwaZuluNatal,Umkhanyakude District Municipality,uMhlabuyalingana Local Municipality,,"ART,Communicable diseases,Dental Clinic,Family planning,HCT,Hip replacement,Laboratory Services,MCWHC Services,MMC,Medical ,Mobile Clinics,Mortuary,Nursing Training,Obstetrics and Gynae,Occupational Therapy ,OPD – Medical, Paediatrics, Surgical, Casualty and Trauma,Ophthalmic Services,Orthopaedics ,Paediatrics,Pharmacy,PMTCT,Primary Health Care Services,School Health Care Services,Social Worker ,Surgical,Telemedicine,Theatre and Sterilizing Department,X – Ray/Ultra Sound",Medium,219,,17,17,,5,2,148,,,http://www.kznhealth.gov.za/mselenihospital.htm,ZA-KZN
210,Dundee Hospital,30.22974,-28.1729,District Hospital,KwaZuluNatal,Umzinyathi District Municipality,Endumeni Local Municipality,,"Casualty Dept/Trauma,Choice of Termination of Pregnancy (CTOP),Crisis Centre,Dental Clinic,Dietetics,Eye Clinic,Family Planning Clinic,General Medical,General Surgical,Heliport/Helipad,Infectious Cases,Maternity,Medical Laboratory Services,Medical Male Circumcision (MMC) high volume centre,Theatres,Occupational therapy,Orthopaedic, Physiotherapy,Primary Health Care Services,Speech therapy & audiology,Telemedicine,X-ray,VCT Clinic,Would care clinic",Medium,224,,42,42,,8,2,288,,,http://www.kznhealth.gov.za/dundeehospital.htm,ZA-KZN
211,Church of Scotland Hospital,30.450917,-28.7476,District Hospital,KwaZuluNatal,Umzinyathi District Municipality,Msinga Local Municipality,,"Aged and Chronic Sick,Casualty Dept/Trauma, General Outpatients department,Dental Department – scaling and polishing, extractions and fillings,General Medical,General Surgical,Paediatric,Infectious Diseases,Maternity,Medical Laboratory Services,Theatres, Occupational Therapy,Orthopaedic,Physiotherapy,Psychiatric,Tuberculosis,X-ray and Ultrasound,Audiology,Speech therapy,HIV medicine including ART and PMTCT,Child health services including immunizations,Women's health services including contraception and cervical smears, Pharmaceutical services, Social work services, Occupational health services, Eye care services – optometry once per month, Dietetic services,Forensic services.",Large,347,,50,50,,15,2,374,,,http://www.kznhealth.gov.za/coshospital.htm,ZA-KZN
212,Charles Johnson Mem Hospital,30.672921,-28.2119,District Hospital,KwaZuluNatal,Umzinyathi District Municipality,Nquthu Local Municipality,,"Casualty, trauma & out patients,,Crisis, Centre, Dental, Dietician, General Medical,General Surgical,Geriatric and chronic clinic,Infectious Cases,Maternity,Medical Laboratory,Neonatal and paediatric,Obstetric and Gynaecology
, Occupational Health,Orthopaedics,Physiotherapy, Pharmaceutical, Primary Health Care,Psychiatry,Social work,Theatres,Tuberculosis,VCT and ARV,X-ray and other services.",Large,190,,30,30,,3,2,385,,,http://www.kznhealth.gov.za/cjmhospital.htm,ZA-KZN
213,Greytown Hospital,30.600049,-29.0657,Specialised Hospital,KwaZuluNatal,Umzinyathi District Municipality,Umvoti Local Municipality,,"24 hour accident and emergency,24 hour crisis center,24 hour x-ray and laboratory,ARV, VCT and PMTCT,Clinical psychology,Dental clinic,Medical,Surgical,Paediatric,Obstetric and Gynaecology,Social work,Pharmaceutical,Physiotherapy,Speech therapyOccupational therapy,Theatre,Women's Health Clinic",,271,,43,43,,6,2,,,,http://www.kznhealth.gov.za/Greytown/Services.htm,ZA-KZN
214,Estcourt Hospital,29.893932,-29.0205,District Hospital,KwaZuluNatal,Uthukela District Municipality,Inkosi Langalibalele Local Municipality,,"OPD/Casualty,Dental Clinic,Rehab Centre,TB ClinicV.C.T. And PMCTC,Occupational Health Clinic,Laboratory,X-Ray,Crisis Centre,PHC – Gateway Clinic,Psychiatric Department,Pharmacy Department,Medical Service,Surgical Wards,Maternity Services,Theatres,Paediatrics,Ophthalmic Clinic,Social Worker service,ARV Clinic,Psychology and Counselling service,Flying doctors services",Large,325,,75,75,,2,3,311,,,http://www.kznhealth.gov.za/estcourthospital.htm,ZA-KZN
215,Emmaus Hospital,29.381335,-28.8524,District Hospital,KwaZuluNatal,Uthukela District Municipality,Okhahlamba Local Municipality,,"Casualty Dept/Trauma,Dental Facilities,General Medical,General Surgical Maternity,Medical Laboratory Services,Theatres,Tuberculosis,X-ray,PHC service,Outpatient service,VCT centre,PMTCT, service,Crisis centre,Paediatrics,Medical support to surrounding clinics,Social worker,Eye clinic,Pharmacy,Dietetics,Physiotherapy,Occupational therapy
 ",Medium,156,,19,19,,10,2,156,,,http://www.kznhealth.gov.za/emmaushospital.htm,ZA-KZN
216,Vryheid Hospital,30.797088,-27.7583,District Hospital,KwaZuluNatal,Zululand District Municipality,AbaQulusi Local Municipality,,"Casualty Dept/Trauma,CDC Clinic,Choice of Termination of Pregnancy,Satellite MDR Unit,CSSD,Dental Services,Dietetics,Eye Services,General Ward,General Support Services,Helipad,High Care Unit,HAST,Laboratory,Medical Wards – (Female and Males),Medical Male Circumcision,Obstetrics and Gynaecology,Out Patients (General, Medical, Surgical, Orthopaedic, Paediatric, High RiskPregnancies, Geriatrics, Stomatherapy),Paediatrics Ward,Primary Health Care Services,Physiotherapy,Psychologist,Radiology Services,Rehabilitation Services,Pharmaceutical Services,Social Worker,Stroke Unit,Surgical,Wards (Male and Female),Theatre,Trauma Counselling,Waiting Mothers Lodge,WBOT (Community Services)",Large,338,,97,97,,0,0,338,,,http://www.kznhealth.gov.za/vryheidhospital.htma,ZA-KZN
217,Benedictine Hospital,31.639325,-27.891,District Hospital,KwaZuluNatal,Zululand District Municipality,Nongoma Local Municipality,,"Casualty Dept/Trauma,Crisis center,Dental Facilities,Dentistry services,Dietetics services,Eye services,Family planning services,General Medical,General Surgical,High Care,Intensive Care,Laboratory Services,Maternity,Neonatal & Pediatrics Services,Occupational Health & safety,Operating Theatre,Orthopaedic,Physiotherapy,Primary Health Care Services,Radiology services,Speech Therapy,Social worker,Tuberculosis,Women's clinic,X-Ray",Large,385,,47,47,,2,2,403,,,http://www.kznhealth.gov.za/benedictinehospital.htm,ZA-KZN
218,Ceza Hospital,31.377188,-27.996,District Hospital,KwaZuluNatal,Zululand District Municipality,Ulundi Local Municipality,,"24hr casualty,Clinical forensic services,Eye care,Gateway clinic,Geriatrics,Gynaecology,HBC,CHW, DOTS, VCT, PMTCT,Infection control,Mental Health,Medical Laboratory and access to blood bank,Medicine,Obstetrics,Occupational health,Outpatient,Paediatrics,Radiology and Ultrasound,,Rehabilitation and therapy,Residential and mobile clinics and health promoting school services,Social work services,Surgery,Theatres & Anaesthetics",Medium,160,,15,15,,4,1,265,,,http://www.kznhealth.gov.za/cezahospital.htm,ZA-KZN
219,Nkonjeni Hospital,31.41477,-28.2266,District Hospital,KwaZuluNatal,Zululand District Municipality,Ulundi Local Municipality,,"Administrative Services,Crisis/Trauma Services,Dental Health Services,Diagnostic Imaging Services,Health Informatics Services,Health Promotion Services,Home Based Care,Infection Control,Laundry, Services,Food Services,Medical In Patient Services,Maintenance Services,Mortuary Services,Obstetrics & Gynaecological Services,Operating Theatre Services & CSSD
Out- Patient Health services- General & Paediatrics,Orthopaedic In Patient services,Occupational Health & safety,Paediatrics In Patient Services,Prevention of Mother to Child Transmission,Resuscitation,Security Services,Staff Residences,Surgical In- Patient Services",Large,230,,35,35,,6,2,360,,,http://www.kznhealth.gov.za/nkonjenihospital.htm,ZA-KZN
220,Itshelejuba Hospital,31.347971,-27.2774,District Hospital,KwaZuluNatal,Zululand District Municipality,uPhongolo Local Municipality,,"Admitting services,Clinic for chronic diseases,Dental Health,Gateway clinic,General Medical,General Surgical,Gynae and Obstetrics,HAST,High Care,Laundry,Mortuary services,Occupational Health and Safety,Occupational Therapy,Operating Theatres,Outpatient / casualty,Pharmacy,VCT/PMTCT,Social work services,Dietician,Physio / Occupational Therapy,Laboratory, Crisis care management, X-Ray",Small,154,,0,0,,11,2,150,,,http://www.kznhealth.gov.za/itshelejubahospital.htm,ZA-KZN
221,Inkosi Albert Luthuli Central Hospital,30.958756,-29.8739,Central Hospital,KwaZuluNatal,eThekwini Metropolitan Municipality,eThekwini MM Sub,,"Mother and child services, peri -operative services, surgical services, medical services, professions allied medical support.",Large,852,,194,194,,2,19,846,,,http://www.ialch.co.za/,ZA-KZN
222,King Edward VIII Hospital,30.989507,-29.8822,Central Hospital,KwaZuluNatal,eThekwini Metropolitan Municipality,eThekwini MM Sub,YES,"Athritis Clinic,Clinical Psychology,Dermatology,Dietetics,Ear Throat & Nose (ENT),Emergency and Trauma Unit,Full Radiology Unit,General Medicine,General Surgery,GI Unit,Heamatology,ICU,Neonatal ICU,Maxillo Facial,Medical Physics,Laboratory Services,Obstetrics & Gynae,Occupational Therapy,Orthopaedic,Orthopaedics,Peadiatrics,Pharmacy,Physiotherapy,Psychiatric services,Social work,Special clinic services,Speech & Audio,Theatres,Urology",Large,833,,194,194,,5,11,852,,,http://www.kznhealth.gov.za/kingedwardhospital.htm,ZA-KZN
223,Ngwelezana Hospital,31.864116,-28.7795,Tertiary Hospital,KwaZuluNatal,King Cetshwayo District Municipality,City of uMhlathuze Local Municipality,,"Allied Health Services:Blood Bank Services,Diagnostic and Imaging,Dietetics,Health Technology Services (HTS),Laboratory Services,Occupational Therapy,Optometry,Oral Health, Pharmaceutical, Psychology, Physiotherapy,Speech and Audiology,Social Worker.Medical Services:Anaesthesia, High care and Critical Care ServicesDental,Emergency and Trauma Services,ENT,Internal Medicine and Neurological services,Maxillo Facial,Ophthalmology services,Orthopaedics,Psychiatry,Radiological,Surgical Services,Urology",Medium,489,,45,50,,6,6,544,,,http://www.kznhealth.gov.za/ngwelezanahospital.htm,ZA-KZN
224,Grey's Hospital,30.363784,-29.5796,Tertiary Hospital,KwaZuluNatal,uMgungundlovu District Municipality,Msunduzi Local Municipality,YES,"Accident and Emergency Services,Anaesthetics and Pain Management,Clinical Psychology,Dietetics,Internal Medicine,Laboratory Services,Obstetrics and Gynaecology,Occupational Therapy,Orthopaedic and Sub-Specialties,Pharmaceutical Services,Radiology,Radiotherapy and Oncology,Social Work Services,Speech and Audiology,Surgery – General,Surgery – Subspecialty, General and Sup-Specialty clinics run by Paediatric Outpatients",Medium,507,,160,160,,13,13,530,,,http://www.kznhealth.gov.za/greyshospital.htm,ZA-KZN
225,Charles James TB Hospital,30.885394,-30.017,Specialised Hospital,KwaZuluNatal,eThekwini Metropolitan Municipality,eThekwini MM Sub,,"Respiratory, TB related attention given",Small,220,,,,,,,220,,,http://www.kznhealth.gov.za/charlesjameshospital.htm,ZA-KZN
226,Don McKenzie TB Hospital,30.739534,-29.7382,Specialised Hospital,KwaZuluNatal,eThekwini Metropolitan Municipality,eThekwini MM Sub,,"Respiratory, TB related attention given",Small,220,,,,,,,220,,,http://www.kznhealth.gov.za/donmckenziehospital.htm,ZA-KZN
227,FOSA TB Hospital,30.968573,-29.7859,Specialised Hospital,KwaZuluNatal,eThekwini Metropolitan Municipality,eThekwini MM Sub,,"Respiratory, TB related attention given",Small,187,,,,,,,187,,,http://www.kznhealth.gov.za/fosahospital.htm,ZA-KZN
228,St Margaret's TB MDR Hospital,29.93276,-30.2692,Specialised Hospital,KwaZuluNatal,Harry Gwala District Municipality,uMzimkhulu Local Municipality,,"Respiratory, TB related attention given",Small,80,,,,,,,54,,,http://www.kznhealth.gov.za/stmargaretshospital.htm,ZA-KZN
229,Dunstan Farrell TB Hospital,30.512498,-30.5357,Specialised Hospital,KwaZuluNatal,Ugu District Municipality,Ray Nkonyeni Local Municipality,,"Respiratory, TB related attention given",Small,180,,,,,,,180,,,http://www.kznhealth.gov.za/dunstanfarrellhospital.htm,ZA-KZN
230,Doris Goodwin TB Hospital,30.336538,-29.6488,Specialised Hospital,KwaZuluNatal,uMgungundlovu District Municipality,Msunduzi Local Municipality,,"Respiratory, TB related attention given",Small,,,,,,,,100,,,http://www.kznhealth.gov.za/dorisgoodwinhospital.htm,ZA-KZN
231,Richmond Chest Hospital,30.275817,-29.8645,Specialised Hospital,KwaZuluNatal,uMgungundlovu District Municipality,Richmond Local Municipality,,"Respiratory, TB related attention given",Small,,,,,,,,180,,,http://www.kznhealth.gov.za/richmondhospital.htm,ZA-KZN
232,Greytown TB Hospital,30.600049,-29.0657,Specialised Hospital,KwaZuluNatal,Umzinyathi District Municipality,Umvoti Local Municipality,,"Respiratory, TB related attention given",Small,,,,,,,,227,,,http://www.kznhealth.gov.za/greytownhospital.htm,ZA-KZN
233,Mountain View Hospital,31.425381,-27.7813,District Hospital,KwaZuluNatal,Zululand District Municipality,AbaQulusi Local Municipality,,Services for this public hospital could not be found at the time of recording this data.,,,,,,,,,,,,https://sacd.christians.co.za/CaptureOrgDisplay.aspx?oid=2867,ZA-KZN
234,Siloah Lutheran Hospital,31.510095,-27.7402,District Hospital,KwaZuluNatal,Zululand District Municipality,AbaQulusi Local Municipality,,Services for this public hospital could not be found at the time of recording this data.,,,,,,,,,,,,,ZA-KZN
235,Thulasizwe Hospital,31.367857,-27.9526,District Hospital,KwaZuluNatal,Zululand District Municipality,Ulundi Local Municipality,,"Clinical Services:Audiology services,HIV/AIDS counselling,MDR/XDR,Medicine,Radiology services,Tuberculosis (TB).Community Services:Case finding,Contact tracing,DOTS,EAP,Home Visits,VCT Service & Health Information Services",,,,,,,,,,,,http://www.kznhealth.gov.za/thulasizwehospital.htm,ZA-KZN
236,Ekuhlengeni Hospital,30.902844,-30.0071,District Hospital,KwaZuluNatal,eThekwini Metropolitan Municipality,eThekwini MM Sub,,Services for this public hospital could not be found at the time of recording this data.,,1200,,,,,,,,,,http://www.kznhealth.gov.za/ekuhlengeni.htm,ZA-KZN
237,Umzimkhulu Hospital,29.92602,-30.2553,District Hospital,KwaZuluNatal,Harry Gwala District Municipality,uMzimkhulu Local Municipality,,"Voluntary care uses,Assisted care uses,Involuntary care uses,Forensic services,Observation,Care to state patients,Rehabilitation services,Occupational therapy services,Physiotherapy services,Psycho geriatrics services,Services for the intellectual disabled,Psychological services :Psychotherapy,Psychometric assessmen.Social services,Counseling services.Home visits,Community outreach programme",,440,,,,,,,,,,http://www.kznhealth.gov.za/umzimkhuluhospital.htm,ZA-KZN
238,Fort Napier Hospital,30.368942,-29.6138,District Hospital,KwaZuluNatal,uMgungundlovu District Municipality,Msunduzi Local Municipality,,"Psycho-social rehabilitation,Occupational Therapy, Clinical Psychology",,,,,,,,,,,,http://www.kznhealth.gov.za/fortnapierhospital.htm,ZA-KZN
239,Townhill Hospital,30.366437,-29.5874,District Hospital,KwaZuluNatal,uMgungundlovu District Municipality,Msunduzi Local Municipality,,"Clinical Services:Child and Adolescent Psychiatric Services,Psychiatry,Psychology,Pharmacy,Occupational Therapy,Social Work,Infection Control.Tertiary Services:First episode psychosis,Dual diagnosis,Psycho, geriatric,Neuropsychiatry,Child and Adolescent unit,Community liaison and outreach,HIV and psychiatry,Northpark, psychotherapy unit and other services",,,,,,,,,,,,,ZA-KZN
240,Umgeni Waterfall Hospital,30.232779,-29.5008,District Hospital,KwaZuluNatal,uMgungundlovu District Municipality,uMngeni Local Municipality,,"Clinical Psychology Services,Medical services,Nursing Services
Occupational Therapy Services,Pharmaceutical Services,Physiotherapy Services,Social Work Services, Speech Therapy Services and many other services.",,624,,,,,,,,,,http://www.kznhealth.gov.za/umgenihospital.htm,ZA-KZN
241,St Francis Hospital,31.476734,-28.2246,District Hospital,KwaZuluNatal,Zululand District Municipality,Ulundi Local Municipality,,"Out Patients Services,Social Welfare Services,Rehabilitation Services for the disabled,Community Health Workers Programme,Pharmaceutical Services,Counselling Services,
Maternal Child and Women's Health,Geriatric services and chronics,Primary Health Care Services,Eye care services with the help of a nurse from Nkonjeni,Laundry services,
Decentralised Psychiatry for students from the University of Natal,Services of a Psychiatrist part time from Richards Bay - Dr. Latecki,Workshop,Mortuary",,,,,,,,,,,,http://doctors-hospitals-medical-cape-town-south-africa.blaauwberg.net/hospitals_clinics_state_hospitals/state_public_hospitals_clinics_kwazulu_natal_south_africa/st_francis_hospital_mahlabathini_kwazulu_natal_south_africa,ZA-KZN
242,Clairwood Hospital,30.956778,-29.9357,District Hospital,KwaZuluNatal,eThekwini Metropolitan Municipality,eThekwini MM Sub,,Specialized rehabilitation and convalescent care services,,426,,,,,,,,,,http://www.kznhealth.gov.za/clairwoodhospital.htm,ZA-KZN
243,Hillcrest Hospital,30.761508,-29.7894,District Hospital,KwaZuluNatal,eThekwini Metropolitan Municipality,eThekwini MM Sub,,"Chronic Nursing care,Rehabilitation services (for in patients),Occupation therapy,Physiotherapy,Speech therapy,Social work,Pharmacy",,212,,,,,,,,,,http://www.kznhealth.gov.za/hillcresthospital.htm,ZA-KZN
244,Madadeni Hospital,30.0508,-27.7635,District Hospital,KwaZuluNatal,Amajuba District Municipality,Newcastle Local Municipality,,"Adult (ART) services,Clinical Psychology,Dermatology,Ear, nose and throat (ENT),Echocardiogram,Family Medicine (adult),Intensive Care Unit,Internal Medicine,Male Medical Circumcision (MMC),Maxillo Facial Services,Mortuary,Operating Theatre,Peritoneal Dialysis,Social Work Services,V.C.T. Department (Voluntary Counseling and Testing)",,822,,160,160,,6,5,,,,http://www.kznhealth.gov.za/madadenihospital.htm,ZA-KZN
245,Newcastle Hospital,29.935643,-27.7631,District Hospital,KwaZuluNatal,Amajuba District Municipality,Newcastle Local Municipality,,"Antenatal Care - High Risk (in-patient & out-patient),High care services - obstetrics and gynae,ICU - Obstetrics and Gynae,Labour,Post Natal Services,Prevention of Mother to Child Transmission (PMTCT),Reproductive Health Care (RHC),Specialist Clinic,Termination of Pregnancy (TOP),Waiting Mothers Lodge,Gynaecology services,Fertility clinicGynaecology (in patient surgical and non-surgical, Gynaecology out patient,Specialist clinic (Gynae),Child Health,Emergency and resus services,Kangaroo Mother Care (KMC),Neonatal care services,Paediatric ART's and TB services,Paediatric dental services, Paediatric in-patient services,Paediatric out patient services,Specialist paediatric out-patient services,Crisis Centre Services.Support Services:Dietetics Services,Pharmacy services,Physiotherapy and Occupational Therapy services,Psychology,Radiology and ultrasound services,Social services,Speech and Audiology services",,272,,0,0,,0,4,,,,http://www.kznhealth.gov.za/newcastlehospital.htm,ZA-KZN
246,Addington Hospital,31.042291,-29.8616,District Hospital,KwaZuluNatal,eThekwini Metropolitan Municipality,eThekwini MM Sub,YES,"Antenatal Clinic / Ward 8A,Antenatal/Obstetrics Clinic,Adult Prim Health Care (Gateway),Audiology services,Accident Unit (Trauma),Breast Clinic (OPDA),Beatrice Street Clinic,Cardiac Clinic (CCU),Crisis Centre,Children’s Primary H/C,Children's Outpatient Dept, Colposcopy Clinic,CT Scanner,Cystic Fibrosis Clinic,Dental Clinic,Dermatology (OPDD),Diabetic Clinic,Dietetics Department,ECG Department,Emergency Unit – Casualty,ENT Clinic,Eye Clinic,GI Unit,Gynae ClinicHaemodialysis Clinic,Medical Clinic (OPDD),Medical Reg Room,Newlands East Clinic,Nuclear Medicine,Occupational Health,Occupational Therapy,Oncology Department,Orthopaedic Clinic,Output Location,Pain Clinic, Psychiatry Department,Physiotherapy,Rheumatology Clinic (OPDD),Reproductive Health,Revenue, Department,Sinothando Centre,Social Work Department,Soft Tissue Clinic (F4),Speech Therapy,Stomal TherapySurgical Clinic (OPDA)Thyroid Ultrasound Department,Urology (OPDB),Theatre,X-Ray Main,S-Block X-Ray,X-Ray Trauma",,571,,100,100,,5,7,,2200,,http://www.kznhealth.gov.za/addingtonhospital.htm,ZA-KZN
247,King Dinuzulu Hospital,30.987036,-29.8235,District Hospital,KwaZuluNatal,eThekwini Metropolitan Municipality,eThekwini MM Sub,,"ARV roll-out to TB patients,Casualty Department (24 hours),Dental Services,Dietetics,Family, Planning,General,Medical,General Surgical,HCT,Intensive Care
Laboratory,Maternity,Medical Laboratory Services,Medical outpatient department,Occupational therapy,Orthopaedics
Paediatric ward,Pharmacy,Physiotherapy,Psychiatric, Psychological services,Social welfare services,Social worker
Specialist Services,Speech therapy,TB clinic, Theatres, Tuberculosis,Voluntary testing and counselling,X-ray",,661,,98,98,,0,4,,,,http://www.kznhealth.gov.za/kingdinuzuluhospital1.htm,ZA-KZN
248,Mahatma Gandhi Hospital,31.028852,-29.7183,District Hospital,KwaZuluNatal,eThekwini Metropolitan Municipality,eThekwini MM Sub,,"24 Hour Casualty Dept of Health,Crisis Centre,Dietetics Department,Family Planning Clinic,HIV/AIDS Counseling, Inpatients wards,Laboratory Service,Medical Out Patients
NEO – Natal High Care,Obstetrics and Gynecology,Operating Theatre,Outpatients Department,Pediatrics Department, Pharmacy,Physiotherapy,Social Work Dept.X Ray Service – Telemedicine linked to Ultra sound.",,388,,70,70,,0,2,,,,http://www.kznhealth.gov.za/mahatmagandhihospital.htm,ZA-KZN
249,Prince Mshiyeni Hospital,30.936625,-29.9548,District Hospital,KwaZuluNatal,eThekwini Metropolitan Municipality,eThekwini MM Sub,,"District Services:24 hr Emergency Services,Eye Care,Family Medicine,HIV/AIDS Management,Mortuary Services,Mental Health,Obstetrics,Paediatrics,Pharmacy,Primary Health Care, Radiology, Rehabilitation, Surgery. Regional Services: AnaesthesiologyCasualty/Emergency Services, Gynaecology,CU/High Care,Internal Medicine,Obstetrics,Operating theatres,Ophthalmology,Orthopaedic Surgery,Psychiatry and Mental Health,Radiology and diagnostic, Specialised OPD,Surgery",,1160,,220,220,,9,11,,,,http://www.kznhealth.gov.za/princemshiyenihospital.htm,ZA-KZN
250,RK Khan Hospital,30.886237,-29.9151,District Hospital,KwaZuluNatal,eThekwini Metropolitan Municipality,eThekwini MM Sub,,"Blood bank,C.A.T. Scanner,Casualty Dept/Trauma,Dental Facilities,Ear, Nose and Throat (E.N.T),Forensic Services, General Medical,General Surgery,Health Services,High Care
HIV/Aids Management,Intensive Care,Internal medicine,Maternity,Medical Laboratory Services,MOPD and casualty,Obstetrics and Gynaecology,Occupational Health Services,Operating Theatres,Ophthalmology
Orthopaedics,Paediatric Neonatology, Paediatrics,Pharmacy,Physiotherapy Services
Psychiatry and Mental Health,Radiology,Rehabilitation services",,543,,101,101,,13,5,,,,http://www.kznhealth.gov.za/rkkhanhospital.htm,ZA-KZN
251,St Aidans Hospital,31.011035,-29.8507,District Hospital,KwaZuluNatal,eThekwini Metropolitan Municipality,eThekwini MM Sub,,"Pharmacy, Urology,Plastic surgery, Haemodialysis,
Peritoneal Dialyses and MMC, Social work services, occupational therapy,Physiotherapy and other services.
",,157,,75,75,,0,3,,240,,http://www.kznhealth.gov.za/staidanshospital.htm,ZA-KZN
